method,model,safe_count,harmful_count,unknown_count,total,safe_pct,harmful_pct,unknown_pct
few-shot,gpt-4o,4,0,13,17,23.53,0.0,76.47
zero-shot,gpt-4o,5,0,12,17,29.41,0.0,70.59
